Equipment ID,EquipmentName,UniqueName,BarcodeNumber,Category,Subcategory,SerialNumber,ModelNumber,Manufacturer,Location,Facility ResQ ID,Facility Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11383,Bagel Toaster,Bagel Toaster,EQ11383F230,Food Preparation Equipment,Grills/Toasters,Left Serial #: TQ3160309A0051,QCS3-1600B,Holman,,F230,Tim Hortons #1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16886,Bagel Toaster,Bagel Toaster,A00000001SL,Food Preparation Equipment,Grills/Toasters,NA,NA,Holman,NA,F377,Tim Hortons #1190,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16321,Bagel Toaster,Bagel Toaster,A00000000QW,Food Preparation Equipment,Grills/Toasters,NA,NA,Holman,,F360,Tim Hortons #2614,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17156,Bagel Toaster,Bagel Toaster,A00000003JJ,Food Preparation Equipment,Grills/Toasters,432-17137,6220,Nieco,NA,F211,Tim Hortons #6025,/equipment/images/images_rSJdELm.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ20979,Bagel Toaster,Bagel Toaster,A12345678,Food Preparation Equipment,Grills/Toasters,TQ3161010OA0020,QCS-3-1600B,Holman,NA,F353,Tim Hortons 2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11299,Bagel Toaster,Bagel Toaster,A00000001P5,Food Preparation Equipment,Grills/Toasters,NA,QCS,Holman,,F187,Tim Hortons #0579,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ18826,Bagel Toaster,Bagel Toaster,NANA,Food Preparation Equipment,Grills/Toasters,633-42567,6225,Nieco,NA,F336,Tim Hortons #7326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ20060,Bagel Toaster,Bagel Toaster,Spare,Food Preparation Equipment,Grills/Toasters,NA,NA,Holman,,F237,Tim Hortons #2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16266,Bagel Toaster,Bagel Toaster,A000000014E,Food Preparation Equipment,Grills/Toasters,NA,NA,Holman,,F372,Tim Hortons #4853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11401,Bagel Toaster,Bagel Toaster,EQ11401F242,Food Preparation Equipment,Grills/Toasters,N/A,6220,Neico,,F242,Tim Hortons #2751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16245,Bagel Toaster,Bagel Toaster,A00000000XV,Food Preparation Equipment,Grills/Toasters,334-35729,6220,Newco,,F370,Tim Hortons #2368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16216,Bagel Toaster,Bagel Toaster,A000000017L,Food Preparation Equipment,Grills/Toasters,533-40195,6220,Neico,,F366,Tim Hortons #6275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17458,Bagel Toaster,Bagel Toaster,A00000000OW,Food Preparation Equipment,Grills/Toasters,NA,NA,Neico,,F357,Tim Hortons #6010,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17518,Bagel Toaster,Bagel Toaster,A00000000WU,Food Preparation Equipment,Grills/Toasters,TQ30408A0095,QCLQ316B,Holman,,F367,Tim Hortons #3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16371,Bagel Toaster,Bagel Toaster,A00000001PO,Food Preparation Equipment,Grills/Toasters,NA,NA,Holman,,F385,Tim Horton's 0599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
